Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Inflight Entertainment,Recommended
Not available,Couple Leisure,Economy Class,Other,December 2016,5,5,3,5,5,4,1
Boeing 747-400,Couple Leisure,Business Class,Other,December 2016,4,5,2,4,4,3,1
Boeing 787,Couple Leisure,Economy Class,Other,December 2016,2,3,2,1,1,3,0
Not available,Business,Economy Class,Other,December 2016,2,3,2,2,1,4,1
Boeing 787,Couple Leisure,Premium Economy,BKK to LHR,December 2016,4,4,2,4,3,5,0
Not available,Solo Leisure,Premium Economy,Other,December 2016,2,4,2,1,1,1,0
A320,Business,Economy Class,Other,December 2016,1,1,1,1,1,1,0
Boeing 777,Couple Leisure,Economy Class,Other,December 2016,3,3,1,1,2,2,0
Not available,Business,Economy Class,Other,December 2016,3,5,4,1,2,2,0
Boeing 747-400,Solo Leisure,Economy Class,Other,December 2016,4,5,4,3,5,5,1
Boeing 777,Couple Leisure,Premium Economy,Other,December 2016,1,1,1,1,1,1,0
Boeing 777-200,Couple Leisure,First Class,Other,December 2016,1,3,2,4,1,1,0
Other,Business,Economy Class,Other,December 2016,4,3,1,4,3,2,1
Not available,Couple Leisure,Business Class,LHR to HKG,December 2016,4,5,5,4,4,4,1
Boeing 777,Solo Leisure,Economy Class,Other,December 2016,1,2,2,2,2,1,0
A380,Solo Leisure,Economy Class,Other,December 2016,1,3,3,3,4,1,1
Not available,Couple Leisure,Premium Economy,Other,November 2016,3,1,2,3,2,1,0
Not available,Couple Leisure,Economy Class,Other,December 2016,3,3,2,3,3,3,0
Not available,Business,Premium Economy,Other,December 2016,4,4,1,1,1,4,0
Boeing 777,Family Leisure,Premium Economy,Other,October 2016,1,1,2,1,1,2,0
Boeing 747,Business,Business Class,Other,November 2016,3,2,2,3,3,2,0
Other,Solo Leisure,Business Class,Other,December 2016,2,4,3,4,2,3,1
A380,Business,Business Class,LHR to HKG,December 2016,4,4,4,4,5,3,1
Not available,Business,Premium Economy,Other,December 2016,1,1,1,1,1,1,0
Other,Solo Leisure,Premium Economy,Other,December 2016,5,5,5,5,5,5,1
Boeing 787,Business,Business Class,Other,December 2016,2,3,1,2,1,2,0
Not available,Couple Leisure,Economy Class,Other,December 2016,3,2,1,3,1,2,0
Boeing 777,Solo Leisure,Premium Economy,Other,December 2016,3,2,2,4,3,3,1
Not available,Solo Leisure,Economy Class,Other,November 2016,4,5,4,3,4,1,1
Not available,Solo Leisure,Economy Class,Other,November 2016,4,5,4,4,4,1,1
Not available,Business,Premium Economy,Other,December 2016,2,3,1,2,1,3,0
Boeing 777,Solo Leisure,Business Class,Other,November 2016,4,3,3,2,2,4,1
Boeing 777-200,Couple Leisure,First Class,Other,December 2016,3,2,1,1,1,1,0
Other,Business,Economy Class,Other,December 2016,3,2,2,4,4,3,1
Boeing 747-400,Couple Leisure,Economy Class,Other,November 2016,1,1,1,4,1,2,0
Boeing 787,Couple Leisure,Premium Economy,Other,October 2016,5,5,3,5,4,4,1
A320,Business,Business Class,Other,December 2016,1,2,1,1,1,1,0
Other,Couple Leisure,Economy Class,LHR to HKG,November 2016,1,2,1,3,2,4,0
Boeing 777,Family Leisure,Economy Class,Other,December 2016,2,2,2,4,2,1,0
A321,Couple Leisure,Business Class,Other,December 2016,4,4,4,4,3,1,1
Boeing 777,Couple Leisure,Business Class,Other,December 2016,2,1,2,1,1,2,0
Not available,Couple Leisure,Economy Class,Other,November 2016,1,1,1,1,1,1,0
Not available,Couple Leisure,Economy Class,Other,December 2016,2,4,1,4,3,4,1
A321,Business,Business Class,Other,November 2016,1,2,1,3,1,1,0
Not available,Couple Leisure,Business Class,Other,November 2016,2,1,2,4,1,2,0
Not available,Solo Leisure,Economy Class,Other,January 2016,3,3,3,1,1,3,0
A380,Family Leisure,Economy Class,LHR to HKG,November 2016,1,2,3,3,2,1,0
A380,Business,First Class,Other,November 2016,5,5,5,3,4,4,1
Other,Solo Leisure,Economy Class,Other,November 2016,4,4,4,4,4,3,1
Not available,Couple Leisure,Economy Class,Other,October 2016,3,4,4,3,5,2,1
Boeing 777,Business,First Class,Other,November 2016,5,5,4,5,5,4,1
Other,Couple Leisure,Business Class,Other,November 2016,5,5,5,3,3,3,0
A380,Business,Premium Economy,Other,November 2016,5,5,5,5,5,4,1
Boeing 777,Couple Leisure,Economy Class,Other,November 2016,3,5,5,3,4,4,1
A320,Solo Leisure,Business Class,Other,November 2016,4,5,3,2,3,5,1
Not available,Family Leisure,Economy Class,Other,November 2016,4,2,1,1,1,3,0
Not available,Business,Economy Class,Other,November 2016,1,1,1,1,1,1,0
Boeing 747-400,Solo Leisure,First Class,Other,April 2016,3,3,3,2,3,3,0
Boeing 777-200,Family Leisure,Economy Class,Other,October 2016,3,4,3,5,4,3,1
Boeing 747-400,Business,Business Class,Other,November 2016,3,5,2,3,2,5,0
A380,Business,First Class,Other,November 2016,5,5,5,5,5,4,1
Not available,Business,Premium Economy,Other,August 2016,1,1,1,1,1,1,0
Not available,Couple Leisure,Economy Class,Other,November 2016,1,5,2,1,1,4,0
A320,Business,Economy Class,Other,November 2016,4,5,4,5,3,2,1
Other,Solo Leisure,Economy Class,Other,November 2016,3,4,3,4,4,2,1
Boeing 747-400,Solo Leisure,First Class,Other,November 2016,5,5,5,4,4,2,1
Other,Business,Economy Class,Other,August 2016,1,1,2,2,1,1,0
Not available,Family Leisure,Economy Class,Other,August 2016,1,2,2,2,2,4,0
Not available,Couple Leisure,Premium Economy,Other,September 2016,3,1,1,3,1,2,0
A321,Business,Economy Class,Other,November 2016,3,2,1,4,4,4,1
Boeing 777,Business,Economy Class,Other,October 2016,2,1,1,4,1,2,0
A380,Couple Leisure,First Class,Other,November 2016,5,3,1,2,1,3,0
A380,Couple Leisure,Premium Economy,Other,November 2016,5,4,4,3,4,5,1
Other,Couple Leisure,Premium Economy,Other,November 2016,5,5,4,5,5,5,1
A320,Solo Leisure,Economy Class,Other,November 2016,1,2,1,1,1,3,0
Other,Couple Leisure,First Class,Other,November 2016,4,4,1,1,2,4,0
Not available,Business,Economy Class,Other,October 2016,3,4,3,2,3,4,1
Not available,Business,Business Class,Other,November 2016,1,2,1,3,1,5,0
A380,Couple Leisure,First Class,Other,November 2016,5,5,4,5,4,4,1
Not available,Family Leisure,Economy Class,Other,November 2016,2,2,2,1,4,1,0
Boeing 747-400,Couple Leisure,First Class,Other,November 2016,5,5,4,4,4,4,1
Not available,Solo Leisure,Economy Class,Other,September 2016,3,5,2,5,3,1,1
A320,Business,Economy Class,Other,November 2016,5,2,1,1,2,4,0
Other,Family Leisure,Economy Class,LHR to MIA,October 2016,3,3,1,2,2,1,0
A320,Business,Economy Class,Other,November 2016,5,5,5,5,5,1,1
Boeing 787,Family Leisure,First Class,Other,November 2016,3,4,2,2,2,3,0
Boeing 777,Couple Leisure,First Class,Other,November 2016,3,4,1,2,2,3,0
A320,Solo Leisure,Business Class,Other,November 2016,2,2,3,3,3,3,1
Boeing 777-200,Solo Leisure,Premium Economy,Other,November 2016,2,2,1,2,2,1,0
Boeing 777,Couple Leisure,Premium Economy,Other,November 2016,1,1,1,1,1,3,0
Not available,Solo Leisure,Economy Class,Other,October 2016,5,5,4,5,3,3,1
Other,Solo Leisure,Economy Class,Other,November 2016,1,1,3,1,3,2,0
A380,Couple Leisure,First Class,Other,October 2016,5,5,5,4,5,5,1
Boeing 777,Couple Leisure,Premium Economy,Other,November 2016,2,1,1,3,1,1,0
A320,Solo Leisure,Economy Class,Other,November 2016,3,5,1,5,1,5,0
Other,Couple Leisure,First Class,Other,October 2016,3,4,3,4,3,3,1
Not available,Solo Leisure,Economy Class,Other,August 2016,1,1,2,3,2,1,0
Other,Business,Economy Class,Other,November 2016,2,2,1,2,1,1,0
Boeing 777-200,Family Leisure,Business Class,Other,November 2016,1,1,1,1,1,1,0
Boeing 777,Solo Leisure,Economy Class,Other,November 2016,3,4,1,3,3,3,1
A319,Business,Business Class,Other,November 2016,2,5,1,4,2,4,0
Other,Couple Leisure,Economy Class,Other,October 2016,4,5,4,4,4,4,1
Boeing 777,Couple Leisure,Premium Economy,Other,November 2016,2,2,1,5,1,2,0
Not available,Couple Leisure,Economy Class,Other,October 2016,2,3,2,4,2,4,0
A319,Family Leisure,Economy Class,Other,October 2016,3,4,3,4,4,3,1
Not available,Solo Leisure,Economy Class,Other,November 2016,3,4,2,3,1,1,0
Boeing 747-400,Couple Leisure,Economy Class,Other,October 2016,2,3,2,1,3,3,0
A320,Business,Business Class,Other,October 2016,2,4,1,2,1,4,0
Boeing 787,Solo Leisure,Economy Class,Other,October 2016,4,5,5,4,4,5,1
Other,Solo Leisure,Economy Class,Other,October 2016,4,5,4,3,5,4,1
A380,Couple Leisure,Business Class,Other,October 2016,3,3,2,3,2,1,0
Boeing 747-400,Solo Leisure,Business Class,Other,October 2016,5,5,5,5,5,5,1
Boeing 747-400,Solo Leisure,Economy Class,Other,October 2016,3,2,1,2,2,2,0
Not available,Couple Leisure,Economy Class,Other,October 2016,3,4,1,2,3,1,1
A380,Couple Leisure,Premium Economy,LHR to MIA,October 2016,4,5,4,5,4,1,1
Other,Solo Leisure,Economy Class,Other,October 2016,5,5,4,5,5,5,1
Not available,Business,Economy Class,Other,October 2016,3,5,3,5,5,3,1
Not available,Business,Premium Economy,Other,October 2016,3,1,2,2,3,2,0
A319,Business,Business Class,Other,October 2016,1,1,1,1,1,1,0
Not available,Couple Leisure,Economy Class,Other,October 2016,3,5,1,3,1,4,0
A320,Business,Business Class,Other,October 2016,3,5,3,1,3,3,1
Boeing 777-200,Couple Leisure,Business Class,BKK to LHR,October 2016,3,3,2,3,3,3,0
A319,Family Leisure,Business Class,Other,October 2016,1,4,2,1,1,1,0
Not available,Solo Leisure,Premium Economy,Other,September 2016,3,4,3,1,2,2,0
Other,Couple Leisure,Business Class,Other,September 2016,5,3,4,5,4,2,1
Other,Business,Premium Economy,Other,October 2016,2,2,1,3,2,3,0
Boeing 747,Solo Leisure,First Class,Other,October 2016,4,4,3,4,4,4,1
A380,Couple Leisure,Economy Class,Other,October 2016,2,1,1,1,1,1,0
Boeing 777-200,Couple Leisure,Economy Class,Other,October 2016,1,1,2,2,1,1,0
A380,Business,First Class,Other,October 2016,4,4,3,1,1,3,0
Not available,Solo Leisure,Economy Class,Other,October 2016,1,1,1,3,1,3,0
Other,Business,First Class,Other,June 2016,3,4,2,4,1,3,0
Not available,Solo Leisure,Economy Class,BKK to LHR,September 2016,2,2,3,3,2,1,0
A320,Couple Leisure,Business Class,Other,October 2016,1,1,3,1,1,3,0
Not available,Solo Leisure,Premium Economy,Other,October 2016,2,1,1,2,1,2,0
Not available,Solo Leisure,Business Class,Other,October 2016,1,3,1,1,1,1,0
A319,Family Leisure,Economy Class,Other,October 2016,3,3,2,3,3,4,0
Other,Solo Leisure,First Class,Other,August 2016,4,1,1,2,2,1,0
Other,Solo Leisure,Economy Class,Other,October 2016,5,5,5,5,5,4,1
Boeing 787,Couple Leisure,Economy Class,Other,October 2016,1,4,4,3,3,5,0
Other,Couple Leisure,Economy Class,Other,September 2016,3,1,1,1,2,3,0
A380,Family Leisure,Economy Class,Other,August 2016,1,2,1,2,2,1,0
Not available,Solo Leisure,Economy Class,Other,October 2016,1,1,1,1,1,3,0
A380,Couple Leisure,First Class,Other,September 2016,2,4,4,2,3,3,0
A320,Family Leisure,Economy Class,Other,October 2016,2,4,1,4,1,3,0
Boeing 777,Couple Leisure,Business Class,Other,October 2016,3,4,2,4,2,1,0
Not available,Solo Leisure,Economy Class,Other,October 2016,2,4,1,2,2,1,0
Other,Couple Leisure,Business Class,Other,October 2016,2,5,5,1,1,3,0
Not available,Couple Leisure,Economy Class,Other,October 2016,4,2,3,2,3,3,0
Not available,Family Leisure,Economy Class,Other,September 2016,3,3,2,1,1,5,0
Boeing 747-400,Solo Leisure,Economy Class,Other,October 2016,3,2,1,3,3,1,1
Boeing 777,Business,First Class,Other,July 2016,4,4,2,1,1,2,0
Boeing 747-400,Couple Leisure,Economy Class,Other,October 2016,2,2,2,4,1,1,0
Boeing 747,Solo Leisure,Economy Class,Other,October 2016,4,5,4,2,4,4,1
A320,Solo Leisure,Economy Class,Other,October 2016,5,5,4,4,5,5,1
Other,Business,Premium Economy,Other,May 2016,3,4,1,4,3,1,0
Boeing 777,Couple Leisure,Premium Economy,Other,October 2016,3,2,3,2,3,3,0
Boeing 777,Couple Leisure,Economy Class,Other,September 2016,3,4,2,1,4,5,1
Not available,Business,Economy Class,Other,October 2016,3,2,3,2,2,4,0
A380,Couple Leisure,Business Class,Other,September 2016,1,2,1,3,2,1,0
A319,Couple Leisure,Economy Class,Other,September 2016,3,4,3,3,3,1,1
Boeing 777,Couple Leisure,Economy Class,Other,September 2016,3,1,1,3,2,2,0
Not available,Couple Leisure,Business Class,Other,September 2016,1,1,1,4,3,1,0
Not available,Couple Leisure,Economy Class,Other,July 2016,3,3,3,1,1,1,0
Boeing 767,Family Leisure,Economy Class,Other,September 2016,3,3,3,2,2,1,0
A380,Couple Leisure,First Class,Other,September 2016,4,5,4,4,4,4,1
Boeing 777,Family Leisure,Economy Class,Other,September 2016,1,3,1,3,3,1,0
Boeing 777-200,Couple Leisure,Business Class,Other,September 2016,3,3,2,5,3,3,0
Boeing 777,Couple Leisure,First Class,Other,September 2016,3,4,4,5,4,4,1
Boeing 767,Couple Leisure,Business Class,Other,September 2016,3,4,3,5,4,1,1
Boeing 787,Solo Leisure,Premium Economy,Other,September 2016,4,3,3,1,4,4,1
A319,Solo Leisure,Economy Class,Other,September 2016,4,4,2,3,4,1,1
Other,Solo Leisure,Business Class,Other,September 2016,2,2,3,3,3,2,0
Boeing 777,Solo Leisure,Business Class,Other,September 2016,2,5,4,3,4,4,1
A320,Couple Leisure,Economy Class,Other,September 2016,3,5,3,4,4,1,1
A380,Couple Leisure,Economy Class,Other,September 2016,4,5,3,4,5,4,1
Other,Business,Premium Economy,Other,September 2016,2,5,1,1,1,1,0
Other,Couple Leisure,Economy Class,Other,September 2016,1,2,1,1,1,4,0
Boeing 787,Business,Premium Economy,Other,September 2016,4,4,4,3,4,4,1
Boeing 777-200,Family Leisure,Premium Economy,Other,September 2016,2,2,1,3,2,1,0
A380,Business,Economy Class,Other,September 2016,3,2,3,3,2,2,1
Boeing 787,Family Leisure,Economy Class,Other,September 2016,2,1,2,1,3,3,0
A319,Family Leisure,Economy Class,Other,September 2016,2,5,1,2,3,4,0
Not available,Solo Leisure,Economy Class,Other,September 2016,2,1,1,1,1,5,0
Not available,Solo Leisure,Business Class,Other,September 2016,4,5,4,5,4,3,1
Boeing 747,Family Leisure,Economy Class,Other,August 2016,3,4,1,1,2,4,0
Not available,Solo Leisure,Economy Class,Other,September 2016,2,1,1,1,1,2,0
Boeing 767,Solo Leisure,Business Class,Other,September 2016,1,1,1,3,1,3,0
Not available,Couple Leisure,Economy Class,Other,August 2016,3,4,3,2,2,1,0
Boeing 767,Business,Business Class,Other,September 2016,4,5,4,4,4,2,1
Not available,Solo Leisure,Economy Class,Other,August 2016,2,3,2,3,2,1,0
Boeing 747-400,Couple Leisure,First Class,Other,September 2016,1,1,1,1,1,1,0
A320,Couple Leisure,Business Class,Other,September 2016,1,2,1,1,1,5,0
Boeing 747,Business,Economy Class,Other,September 2016,1,3,4,4,2,1,0
Boeing 747-400,Solo Leisure,Economy Class,Other,September 2016,3,4,4,5,4,2,1
Not available,Solo Leisure,Economy Class,LHR to MIA,September 2016,2,3,3,2,4,2,0
A380,Couple Leisure,Economy Class,Other,August 2016,1,1,1,2,1,2,0
Not available,Solo Leisure,Economy Class,Other,September 2016,2,3,1,2,2,4,0
A320,Family Leisure,Economy Class,Other,September 2016,3,4,1,3,3,1,1
A320,Couple Leisure,Business Class,Other,September 2016,3,3,1,2,2,1,0
Boeing 777,Business,First Class,Other,August 2016,3,4,2,1,1,2,0
A319,Couple Leisure,Economy Class,Other,September 2016,4,4,2,4,4,4,1
A320,Couple Leisure,Business Class,Other,September 2016,3,5,3,3,3,1,1
Other,Solo Leisure,Business Class,LHR to HKG,September 2016,4,4,3,1,3,4,0
A319,Solo Leisure,Business Class,Other,September 2016,3,5,4,3,3,1,1
Not available,Couple Leisure,Economy Class,Other,September 2016,4,3,1,3,4,1,0
Not available,Couple Leisure,Economy Class,Other,September 2016,1,1,1,3,1,3,0
Not available,Family Leisure,Economy Class,Other,September 2016,4,5,2,4,4,1,1
A320,Business,Business Class,Other,August 2016,1,1,1,1,1,1,0
Not available,Business,Business Class,Other,September 2016,4,4,3,1,1,4,0
Not available,Couple Leisure,Economy Class,Other,September 2016,2,4,2,3,3,3,0
A320,Solo Leisure,Economy Class,Other,March 2016,4,4,4,2,3,3,1
Other,Family Leisure,Economy Class,Other,August 2016,4,3,3,3,2,2,0
A319,Family Leisure,Economy Class,Other,July 2016,4,4,3,4,3,4,1
A320,Family Leisure,Business Class,Other,August 2016,3,5,2,5,1,1,0
Boeing 767,Family Leisure,Business Class,Other,August 2016,1,5,5,3,2,1,0
Other,Business,Economy Class,Other,August 2016,2,5,4,5,5,3,1
A380,Family Leisure,Economy Class,Other,August 2016,3,1,1,1,3,1,0
A320,Business,Economy Class,Other,August 2016,5,5,5,4,5,1,1
Boeing 747-400,Family Leisure,Business Class,Other,August 2016,1,2,2,2,1,1,0
A320,Solo Leisure,Economy Class,Other,August 2016,5,5,2,2,2,3,1
A320,Family Leisure,Economy Class,Other,August 2016,4,3,2,3,3,4,0
Boeing 767,Solo Leisure,Economy Class,Other,August 2016,3,4,3,4,3,1,1
Not available,Business,Economy Class,Other,August 2016,4,2,1,3,2,4,0
Boeing 747-400,Family Leisure,First Class,Other,July 2016,5,2,1,5,1,3,0
A320,Business,Economy Class,Other,August 2016,1,2,1,2,1,1,0
A320,Solo Leisure,Economy Class,Other,August 2016,3,4,1,2,2,1,0
Boeing 747-400,Couple Leisure,Economy Class,Other,August 2016,2,2,3,1,3,4,0
Other,Family Leisure,Premium Economy,Other,August 2016,5,2,3,1,1,5,0
A320,Family Leisure,First Class,Other,July 2016,2,2,1,3,3,1,0
Boeing 777,Business,First Class,Other,August 2016,4,4,1,5,1,2,0
Boeing 747-400,Couple Leisure,Business Class,Other,July 2016,5,4,3,5,4,4,1
Not available,Couple Leisure,Business Class,Other,August 2016,3,3,3,1,1,1,0
Other,Business,Economy Class,Other,August 2016,4,5,2,4,4,1,1
Not available,Solo Leisure,Economy Class,Other,August 2016,3,3,1,3,2,2,0
Not available,Family Leisure,Economy Class,Other,August 2016,4,5,1,4,3,3,0
A320,Solo Leisure,Economy Class,Other,August 2016,3,3,2,4,5,3,1
A320,Solo Leisure,Economy Class,Other,August 2016,3,2,2,1,2,5,0
A380,Business,Economy Class,Other,August 2016,3,5,5,3,3,5,1
A380,Couple Leisure,Business Class,Other,August 2016,1,3,3,3,3,4,0
Not available,Solo Leisure,Economy Class,Other,August 2016,1,2,1,2,1,2,0
A321,Solo Leisure,Economy Class,Other,August 2016,5,5,5,5,5,3,1
Boeing 777-200,Solo Leisure,Economy Class,Other,August 2016,3,4,3,4,3,5,1
Other,Couple Leisure,Business Class,Other,April 2016,5,5,5,3,4,3,1
A319,Business,Business Class,Other,August 2016,1,1,1,1,1,1,0
Not available,Couple Leisure,Business Class,Other,June 2016,1,3,3,4,2,1,0
Boeing 747,Solo Leisure,Premium Economy,Other,August 2016,3,3,3,1,1,1,0
Not available,Solo Leisure,Economy Class,Other,June 2016,3,3,3,1,1,1,0
Other,Solo Leisure,Economy Class,Other,August 2016,4,4,4,4,5,4,1
Boeing 777,Couple Leisure,Business Class,Other,June 2016,4,5,3,4,3,1,1
A380,Family Leisure,Business Class,Other,July 2016,4,3,3,3,3,3,1
Boeing 777,Business,Premium Economy,Other,July 2016,4,4,4,4,4,4,1
Boeing 747-400,Solo Leisure,First Class,Other,July 2016,3,5,1,4,2,2,1
Boeing 787,Couple Leisure,Business Class,Other,April 2016,4,5,3,3,3,3,1
A380,Family Leisure,Business Class,LHR to MIA,July 2016,5,3,4,3,4,4,1
Other,Business,Business Class,Other,July 2016,4,4,4,4,4,4,1
Not available,Solo Leisure,Economy Class,Other,July 2016,3,4,3,3,4,1,1
Other,Business,Economy Class,Other,July 2016,3,3,3,4,4,4,1
A319,Couple Leisure,Economy Class,Other,July 2016,5,5,5,5,5,4,1
Boeing 777-200,Business,Economy Class,Other,July 2016,4,3,3,1,3,2,0
Not available,Business,Business Class,BKK to LHR,July 2016,3,3,3,2,2,1,0
Not available,Couple Leisure,Premium Economy,Other,July 2016,1,1,1,1,1,1,0
A321,Family Leisure,Business Class,Other,July 2016,1,2,1,1,1,1,0
Not available,Couple Leisure,Economy Class,Other,July 2016,2,2,3,2,1,1,0
Not available,Couple Leisure,Economy Class,Other,July 2016,1,3,4,3,3,1,0
Boeing 777,Couple Leisure,First Class,Other,July 2016,3,1,2,5,2,3,0
Boeing 777-200,Solo Leisure,First Class,Other,July 2016,5,5,5,5,5,5,1
Boeing 747-400,Solo Leisure,Business Class,Other,July 2016,5,5,4,5,5,5,1
Not available,Solo Leisure,Business Class,Other,July 2016,1,3,1,1,1,4,0
Boeing 787,Couple Leisure,Business Class,Other,July 2016,4,5,3,4,3,5,1
Boeing 777,Business,First Class,Other,July 2016,4,4,4,1,2,3,0
Not available,Business,Business Class,Other,July 2016,3,4,3,4,4,2,1
A320,Business,Business Class,Other,July 2016,1,2,1,1,1,3,0
Boeing 777-200,Couple Leisure,Business Class,Other,July 2016,3,2,1,1,1,3,0
Not available,Solo Leisure,Economy Class,Other,July 2016,3,3,3,1,1,2,0
Not available,Solo Leisure,Business Class,Other,June 2016,1,3,1,1,1,1,0
A320,Solo Leisure,Business Class,Other,July 2016,1,4,2,3,1,2,0
Boeing 747-400,Business,Economy Class,Other,July 2016,1,1,1,1,1,1,0
Other,Solo Leisure,Business Class,Other,June 2016,5,5,3,5,1,5,0
Boeing 787,Business,Business Class,Other,July 2016,5,5,5,5,1,5,0
A380,Business,Business Class,Other,March 2016,1,1,2,1,1,2,0
Not available,Solo Leisure,Economy Class,Other,August 2015,4,5,5,4,3,5,1
Not available,Solo Leisure,Economy Class,Other,October 2015,2,1,3,1,1,3,0
Not available,Business,Premium Economy,Other,July 2016,1,1,1,1,1,1,0
A320,Business,Business Class,Other,June 2016,1,5,1,2,3,1,0
Boeing 777,Couple Leisure,First Class,Other,June 2016,4,5,4,4,4,5,1
Not available,Solo Leisure,Economy Class,Other,June 2016,3,4,4,1,1,1,0
Boeing 747,Business,Economy Class,Other,June 2016,4,2,1,1,1,1,0
Not available,Couple Leisure,Economy Class,Other,April 2016,4,5,5,2,4,5,1
A320,Couple Leisure,Business Class,Other,June 2016,3,5,4,3,3,3,1
A380,Couple Leisure,Business Class,Other,June 2016,4,5,4,3,4,4,1
Not available,Solo Leisure,Premium Economy,Other,June 2016,3,3,3,1,2,1,0
Not available,Solo Leisure,Economy Class,Other,June 2016,3,1,1,1,1,1,0
A380,Couple Leisure,Economy Class,Other,June 2016,1,2,2,2,1,4,0
Other,Couple Leisure,First Class,Other,June 2016,4,5,4,1,1,3,0
Boeing 777,Solo Leisure,Economy Class,Other,June 2016,4,1,4,2,3,3,0
Boeing 787,Couple Leisure,Premium Economy,Other,June 2016,5,5,5,5,5,5,1
A319,Couple Leisure,Economy Class,Other,June 2016,4,4,3,5,4,5,1
Not available,Family Leisure,Economy Class,Other,June 2016,2,5,4,4,4,3,1
Boeing 767,Couple Leisure,Business Class,Other,June 2016,1,4,2,1,2,3,0
Not available,Couple Leisure,Premium Economy,Other,May 2016,2,1,1,3,1,2,0
Not available,Family Leisure,Economy Class,Other,June 2016,2,2,2,3,3,1,0
Other,Solo Leisure,Economy Class,Other,June 2016,5,5,5,5,5,5,1
Not available,Family Leisure,First Class,Other,June 2016,4,4,2,1,1,2,0
A320,Couple Leisure,Economy Class,Other,May 2016,1,1,1,1,3,5,0
A320,Business,Business Class,Other,June 2016,3,3,3,1,1,2,0
Other,Business,Economy Class,Other,June 2016,4,3,1,3,3,5,1
Not available,Couple Leisure,Economy Class,Other,June 2016,1,1,4,2,3,2,0
A320,Couple Leisure,Business Class,Other,April 2016,5,5,5,5,5,3,1
Boeing 777,Solo Leisure,Business Class,Other,May 2016,4,5,4,5,4,4,1
Boeing 747,Couple Leisure,Economy Class,LHR to MIA,June 2016,1,1,1,1,1,1,0
Not available,Couple Leisure,Premium Economy,Other,June 2016,1,2,3,2,2,3,0
Boeing 777-200,Solo Leisure,First Class,Other,June 2016,5,2,1,4,1,3,0
A380,Solo Leisure,Premium Economy,Other,June 2016,4,3,2,4,3,4,1
Boeing 777-200,Couple Leisure,Business Class,Other,June 2016,4,5,1,5,4,4,1
Boeing 777,Couple Leisure,Business Class,Other,May 2016,3,2,3,5,3,3,0
A320,Couple Leisure,Business Class,Other,June 2016,4,5,5,5,5,3,1
Other,Solo Leisure,First Class,Other,June 2016,5,4,3,1,3,5,0
Boeing 777,Couple Leisure,Business Class,Other,June 2016,3,5,4,4,3,2,1
Boeing 777,Couple Leisure,Premium Economy,Other,May 2016,4,3,3,1,3,2,0
A319,Business,Economy Class,Other,June 2016,1,3,2,4,3,2,0
Other,Solo Leisure,First Class,Other,June 2016,5,5,4,5,5,4,1
A320,Couple Leisure,Economy Class,Other,April 2016,3,3,3,2,3,5,0
Boeing 747-400,Couple Leisure,First Class,Other,June 2016,3,4,4,1,3,3,1
Not available,Couple Leisure,Economy Class,Other,May 2016,2,2,1,1,2,2,0
Boeing 747-400,Family Leisure,Economy Class,LHR to MIA,May 2016,2,2,2,2,3,1,0
Not available,Couple Leisure,Business Class,Other,May 2016,4,3,3,3,3,3,0
Boeing 747,Solo Leisure,Economy Class,Other,May 2016,5,5,1,5,4,5,1
Not available,Solo Leisure,Economy Class,Other,May 2016,3,4,1,1,2,1,0
Not available,Couple Leisure,Economy Class,Other,May 2016,4,2,1,3,2,1,0
Boeing 747-400,Solo Leisure,Economy Class,Other,May 2016,3,4,4,4,4,3,1
A380,Solo Leisure,Premium Economy,Other,May 2016,5,4,4,3,5,5,1
Boeing 777-200,Couple Leisure,Economy Class,Other,May 2016,3,5,4,1,3,1,1
Boeing 777,Couple Leisure,Economy Class,Other,May 2016,4,4,4,4,4,4,1
Boeing 787,Solo Leisure,Business Class,Other,March 2016,5,5,5,5,4,5,1
Not available,Business,Business Class,Other,May 2016,3,3,2,1,1,2,0
Not available,Couple Leisure,Economy Class,Other,May 2016,4,5,3,1,3,5,0
Other,Solo Leisure,Economy Class,BKK to LHR,May 2016,3,4,4,3,4,2,1
Not available,Couple Leisure,Economy Class,Other,May 2016,2,3,3,1,2,3,1
A320,Family Leisure,Business Class,Other,May 2016,4,5,4,2,3,1,1
A380,Business,Business Class,Other,May 2016,4,3,3,4,2,4,0
Other,Solo Leisure,Economy Class,Other,May 2016,5,5,5,5,5,3,1
Other,Couple Leisure,Economy Class,Other,May 2016,4,4,4,4,5,2,1
Not available,Business,Economy Class,Other,May 2016,1,1,3,1,1,2,0
Not available,Couple Leisure,Economy Class,Other,March 2016,4,3,3,1,3,2,0
Not available,Couple Leisure,Economy Class,Other,May 2016,1,1,2,1,1,4,0
Not available,Couple Leisure,Economy Class,LHR to MIA,May 2016,5,5,5,4,5,5,1
Boeing 747-400,Couple Leisure,Economy Class,Other,May 2016,4,4,3,5,3,2,1
Boeing 747-400,Couple Leisure,Business Class,Other,May 2016,4,4,3,4,3,2,1
A320,Couple Leisure,Economy Class,Other,April 2016,4,4,3,4,4,3,1
A320,Couple Leisure,Economy Class,Other,May 2016,2,4,3,3,2,2,0
Boeing 777,Couple Leisure,Business Class,Other,May 2016,4,4,4,4,4,2,1
